algo,size,trial,runtime_ns,cpu_ns,cost,nodes_expanded
nn2opt,7,9,37000,36000,2.499723714921385,0
nn2opt,7,10,37000,37000,1.9213979013365257,0
nn2opt,8,0,42000,42000,8.0,0
nn2opt,8,1,101000,99000,2.1994158156662635,0
nn2opt,8,2,46000,45000,2.697817570128087,0
nn2opt,8,3,105000,104000,2.922101088853702,0
nn2opt,8,4,46000,41000,2.677493529243073,0
nn2opt,8,5,67000,66000,2.3796530921919175,0
nn2opt,8,6,47000,46000,2.6414412178753333,0
nn2opt,8,7,52000,52000,2.6801242091455992,0
nn2opt,8,8,69000,69000,2.653053185766895,0
nn2opt,8,9,42000,40000,2.9245232677730293,0
nn2opt,8,10,101000,100000,2.3974053238819213,0
nn2opt,9,0,103000,103000,2.80888213382602,0
nn2opt,9,1,140000,140000,3.560406615816078,0
nn2opt,9,2,192000,192000,2.9762434929458994,0
nn2opt,9,3,66000,65000,2.4796224566556866,0
nn2opt,9,4,94000,95000,2.8339168666810615,0
nn2opt,9,5,102000,102000,2.7163262667987818,0
nn2opt,9,6,153000,153000,3.1261762736229946,0
nn2opt,9,7,76000,75000,3.4957313837443618,0
nn2opt,9,8,101000,100000,2.9485998664242383,0
nn2opt,9,9,115000,115000,2.250907469307563,0
nn2opt,10,0,154000,154000,2.426402243497892,0
nn2opt,10,1,129000,128000,2.91984797950471,0
nn2opt,10,2,146000,145000,3.359837310139135,0
nn2opt,10,3,213000,211000,3.4420740877089218,0
nn2opt,10,4,256000,257000,3.2268629179918995,0
nn2opt,10,5,169000,165000,2.334051028911734,0
nn2opt,10,6,137000,137000,2.9244965029241046,0
nn2opt,10,7,125000,124000,2.904477671775596,0
nn2opt,10,8,165000,165000,2.983899143056186,0
nn2opt,10,9,160000,159000,2.828184716381501,0
nn2opt,15,0,1271000,1267000,3.7449198670800383,0
nn2opt,15,1,566000,566000,3.6956512268945216,0
nn2opt,15,2,558000,556000,3.5661274133674508,0
nn2opt,15,3,560000,559000,3.2555221788750175,0
nn2opt,15,4,423000,419000,3.0376088161830257,0
nn2opt,15,5,410000,410000,3.0538242001750437,0
nn2opt,15,6,863000,862000,2.8747424255513714,0
nn2opt,15,7,300000,299000,3.0407560736023016,0
nn2opt,15,8,236000,234000,2.7818963411812474,0
nn2opt,15,9,576000,575000,3.462213134511827,0
nn2opt,20,0,1000000,999000,3.8398574053389445,0
nn2opt,20,1,1439000,1438000,4.398054454836867,0
nn2opt,20,2,2319000,2317000,3.9653865668543813,0
nn2opt,20,3,932000,931000,4.6986624789991485,0
nn2opt,20,4,2212000,2212000,3.483894774010487,0
nn2opt,20,5,1152000,1151000,3.3782565870470767,0
nn2opt,20,6,1131000,1131000,3.8691641956046054,0
nn2opt,20,7,3217000,3179000,3.333998744542599,0
nn2opt,20,8,3477000,3467000,4.662431349587166,0
nn2opt,20,9,1504000,1500000,3.742468551618999,0
rrnn,5,0,1013000,1012000,5.0,0
rrnn,5,1,1087000,1088000,2.249612736828632,0
rrnn,5,2,926000,924000,2.4324100724478357,0
rrnn,5,3,996000,996000,2.092769076252572,0
rrnn,5,4,978000,978000,1.730408540073093,0
rrnn,5,5,1069000,1068000,1.8381227481602798,0
rrnn,5,6,1259000,1250000,2.907493662653474,0
rrnn,5,7,1032000,1028000,2.9076783169773255,0
rrnn,5,8,975000,972000,2.7273840284710706,0
rrnn,5,9,1207000,1142000,2.1307530483783985,0
rrnn,5,10,1203000,1199000,2.616055718212318,0
rrnn,6,0,1633000,1630000,6.0,0
rrnn,6,1,1747000,1741000,2.6549481998199593,0
rrnn,6,2,1926000,1925000,2.3857942300953416,0
rrnn,6,3,1699000,1698000,2.5826910133607814,0
rrnn,6,4,1790000,1786000,2.624479955310725,0
rrnn,6,5,1811000,1807000,2.204890873346207,0
rrnn,6,6,1769000,1766000,2.1213700507683013,0
