algo,size,runtime_ratio,cpu_ratio,cost_ratio
hill_climbing,5,0.11181625868842551,0.017605309245091714,1.0
simulated_annealing,5,1.924448473859172,0.2934371831505208,1.0
genetic_algorithm,5,18.12148685403445,2.7633883307217255,1.0
hill_climbing,10,0.29713365539452496,0.873596955231583,1.0
simulated_annealing,10,0.46264090177133654,0.4631982969939363,1.0648340042892595
genetic_algorithm,10,4.8034460547504025,4.810443813701458,1.0425671461620714
hill_climbing,15,0.07220565276722499,0.20925650339706414,1.0038002979296183
simulated_annealing,15,0.02995165247237689,0.029959968913034023,1.1560353745130523
genetic_algorithm,15,0.3391698136030815,0.3393130990717402,1.05034343639614
hill_climbing,20,0.02606072052815234,0.026058852651929483,1.0412735918940625
simulated_annealing,20,0.004431526008003396,0.0044299543805725265,1.3281832156077142
genetic_algorithm,20,0.054403068870318635,0.05440474510821276,1.1290078030277766
