algo,size,mean_cost,std_cost,cv
nn,5,2.693384357683329,0.8543743206945331,31.72121788920648
nn,10,3.2046141288995003,0.3176967222157817,9.91372781361612
nn,15,3.6102869813252,0.4687621857630267,12.9840699143247
nn,20,4.591039975319598,0.6423667430471931,13.991747980858646
nn,25,5.051245481557184,0.6552103510990964,12.971263295188537
nn,30,5.869038120669471,0.5637106548784622,9.604821834317217
nn2opt,5,2.6254711785610696,0.849647755187707,32.36172471157614
nn2opt,10,2.935013360189168,0.3402467231435439,11.592680556711821
nn2opt,15,3.2513261677421843,0.32800180133203577,10.088246592614539
nn2opt,20,3.9372175108440275,0.4746311025583094,12.054988103935411
nn2opt,25,4.234079631153131,0.30001977716179357,7.085832183087323
nn2opt,30,4.849054244334317,0.41559431297345933,8.57062618878813
rrnn,5,2.602971631677727,0.8490949953939687,32.62021702659473
rrnn,10,2.9201614530069575,0.34114403399558324,11.682368919851996
rrnn,15,3.1565905924662583,0.25588228900268395,8.1062868784248
rrnn,20,3.851892807464485,0.41346801611291284,10.73415166984044
rrnn,25,4.161584500729204,0.31198614376379075,7.496811459892829
rrnn,30,4.682183961598105,0.2292177545288485,4.895530726875002
